Id,cap-shape,cap-surface,cap-color,bruises?,odor,gill-attachment,gill-spacing,gill-size,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,target
4819,f,f,g,f,f,f,c,b,b,g,e,b,k,k,b,b,p,w,o,l,h,y,p,p
4820,f,s,w,t,f,f,c,b,b,w,t,b,f,f,w,w,p,w,o,p,h,v,g,p
4821,f,f,y,f,f,f,c,b,b,g,e,b,k,k,b,n,p,w,o,l,h,v,d,p
4822,x,y,g,f,f,f,c,b,b,h,e,b,k,k,p,n,p,w,o,l,h,y,g,p
4823,x,f,y,f,f,f,c,b,b,h,e,b,k,k,n,p,p,w,o,l,h,y,g,p
4824,x,y,e,t,n,f,c,b,b,w,e,?,s,s,e,e,p,w,t,e,w,c,w,e
4825,f,y,y,f,f,f,c,b,b,g,e,b,k,k,n,p,p,w,o,l,h,v,d,p
4826,b,f,y,f,n,f,c,n,n,w,e,?,k,y,w,n,p,w,o,e,w,v,d,p
4827,f,y,y,f,f,f,c,b,b,p,e,b,k,k,n,n,p,w,o,l,h,v,d,p
4828,x,s,g,t,f,f,c,b,b,p,t,b,f,f,w,w,p,w,o,p,h,s,u,p
4829,f,y,y,f,f,f,c,b,b,h,e,b,k,k,p,p,p,w,o,l,h,v,d,p
4830,f,f,y,f,f,f,c,b,b,p,e,b,k,k,p,b,p,w,o,l,h,v,g,p
4831,k,y,e,t,n,f,c,b,b,e,e,?,s,s,w,w,p,w,t,e,w,c,w,e
4832,f,f,y,f,f,f,c,b,b,p,e,b,k,k,b,p,p,w,o,l,h,v,p,p
4833,f,f,y,f,f,f,c,b,b,g,e,b,k,k,p,n,p,w,o,l,h,v,p,p
4834,k,y,n,f,n,f,w,n,n,w,e,b,f,s,w,n,p,w,o,e,w,v,l,e
4835,x,s,w,f,c,f,c,n,n,p,e,b,s,s,w,w,p,w,o,p,n,v,d,p
4836,x,f,y,f,f,f,c,b,b,g,e,b,k,k,b,n,p,w,o,l,h,y,g,p
4837,x,f,y,f,f,f,c,b,b,g,e,b,k,k,n,b,p,w,o,l,h,v,p,p
4838,x,f,y,f,f,f,c,b,b,g,e,b,k,k,b,n,p,w,o,l,h,y,d,p
4839,f,y,y,f,f,f,c,b,b,p,e,b,k,k,n,b,p,w,o,l,h,v,p,p
4840,b,s,b,t,n,f,c,b,b,g,e,b,s,s,w,w,p,w,t,p,r,v,g,p
4841,x,s,w,t,f,f,c,b,b,h,t,b,f,f,w,w,p,w,o,p,h,v,g,p
4842,f,y,e,t,n,f,c,b,b,n,t,b,s,s,w,p,p,w,o,p,n,y,d,e
4843,b,s,w,t,n,f,c,b,b,g,e,b,s,s,w,w,p,w,t,p,r,v,m,p
4844,f,y,p,t,n,f,c,b,b,w,e,?,s,s,e,e,p,w,t,e,w,c,w,e
4845,x,s,w,t,f,f,c,b,b,p,t,b,f,f,w,w,p,w,o,p,h,v,g,p
4846,k,y,n,t,n,f,c,b,b,w,e,?,s,s,w,w,p,w,t,e,w,c,w,e
4847,x,y,y,f,f,f,c,b,b,h,e,b,k,k,n,b,p,w,o,l,h,y,p,p
4848,f,s,b,t,f,f,c,b,b,h,t,b,f,s,w,w,p,w,o,p,h,v,u,p
4849,f,y,g,f,f,f,c,b,b,h,e,b,k,k,n,n,p,w,o,l,h,v,d,p
4850,x,y,y,f,f,f,c,b,b,h,e,b,k,k,b,n,p,w,o,l,h,v,d,p
4851,x,y,g,f,f,f,c,b,b,p,e,b,k,k,n,b,p,w,o,l,h,v,d,p
4852,x,f,y,f,f,f,c,b,b,g,e,b,k,k,n,p,p,w,o,l,h,y,p,p
4853,x,y,y,f,f,f,c,b,b,h,e,b,k,k,p,b,p,w,o,l,h,v,d,p
4854,x,y,y,f,f,f,c,b,b,h,e,b,k,k,p,n,p,w,o,l,h,y,d,p
4855,x,f,y,f,f,f,c,b,b,g,e,b,k,k,b,n,p,w,o,l,h,y,p,p
4856,x,y,g,f,f,f,c,b,b,g,e,b,k,k,b,b,p,w,o,l,h,y,p,p
4857,f,f,g,f,f,f,c,b,b,p,e,b,k,k,n,n,p,w,o,l,h,v,p,p
4858,k,s,e,t,n,f,c,b,b,w,e,?,s,s,e,w,p,w,t,e,w,c,w,e
4859,f,y,n,t,n,f,c,b,b,e,e,?,s,s,e,w,p,w,t,e,w,c,w,e
4860,f,s,b,t,n,f,c,b,b,w,e,?,s,s,e,w,p,w,t,e,w,c,w,e
4861,x,y,y,f,f,f,c,b,b,g,e,b,k,k,b,b,p,w,o,l,h,v,d,p
4862,f,f,g,t,n,f,c,b,b,u,t,b,s,s,p,p,p,w,o,p,n,v,d,e
4863,f,f,y,f,f,f,c,b,b,p,e,b,k,k,n,n,p,w,o,l,h,y,p,p
4864,f,y,g,f,f,f,c,b,b,h,e,b,k,k,p,p,p,w,o,l,h,y,g,p
4865,x,s,g,t,f,f,c,b,b,p,t,b,f,f,w,w,p,w,o,p,h,v,g,p
4866,f,f,g,f,f,f,c,b,b,p,e,b,k,k,p,p,p,w,o,l,h,v,p,p
4867,x,f,y,f,f,f,c,b,b,h,e,b,k,k,p,b,p,w,o,l,h,y,d,p
4868,f,f,y,f,f,f,c,b,b,p,e,b,k,k,n,p,p,w,o,l,h,v,g,p
4869,x,y,n,f,f,f,c,n,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l,p
4870,f,f,g,f,f,f,c,b,b,h,e,b,k,k,b,n,p,w,o,l,h,v,p,p
4871,f,y,n,t,n,f,c,b,b,e,e,?,s,s,w,w,p,w,t,e,w,c,w,e
4872,f,y,e,t,n,f,c,b,b,p,t,b,s,s,g,p,p,w,o,p,k,v,d,e
4873,f,y,g,f,f,f,c,b,b,g,e,b,k,k,p,b,p,w,o,l,h,y,g,p
4874,x,y,y,f,f,f,c,b,b,h,e,b,k,k,p,p,p,w,o,l,h,v,p,p
4875,f,f,g,f,f,f,c,b,b,p,e,b,k,k,n,n,p,w,o,l,h,y,d,p
4876,f,f,e,t,n,f,c,b,b,n,t,b,s,s,p,w,p,w,o,p,n,v,d,e
4877,x,y,y,f,f,f,c,b,b,h,e,b,k,k,p,b,p,w,o,l,h,v,p,p
4878,f,f,y,f,f,f,c,b,b,p,e,b,k,k,b,b,p,w,o,l,h,y,p,p
4879,f,f,g,f,f,f,c,b,b,p,e,b,k,k,p,n,p,w,o,l,h,v,p,p
4880,f,y,y,f,f,f,c,b,b,g,e,b,k,k,n,b,p,w,o,l,h,y,d,p
4881,x,y,g,f,f,f,c,b,b,h,e,b,k,k,b,b,p,w,o,l,h,v,d,p
4882,b,y,w,t,n,f,c,b,b,w,e,b,s,s,w,w,p,w,t,p,r,v,m,p
4883,f,f,y,f,f,f,c,b,b,p,e,b,k,k,p,p,p,w,o,l,h,y,p,p
4884,x,y,n,f,f,f,c,n,n,b,t,?,k,s,p,w,p,w,o,e,w,v,d,p
4885,f,f,g,f,f,f,c,b,b,g,e,b,k,k,p,p,p,w,o,l,h,y,g,p
4886,x,y,y,f,f,f,c,b,b,g,e,b,k,k,n,n,p,w,o,l,h,v,g,p
4887,f,y,y,f,f,f,c,b,b,g,e,b,k,k,n,n,p,w,o,l,h,y,p,p
4888,f,y,p,t,n,f,c,b,b,e,e,?,s,s,e,e,p,w,t,e,w,c,w,e
4889,x,s,w,t,f,f,c,b,b,h,t,b,s,s,w,w,p,w,o,p,h,s,g,p
4890,f,y,g,f,f,f,c,b,b,h,e,b,k,k,n,p,p,w,o,l,h,y,g,p
4891,x,y,g,f,f,f,c,b,b,h,e,b,k,k,b,b,p,w,o,l,h,v,p,p
4892,x,f,y,f,f,f,c,b,b,p,e,b,k,k,n,p,p,w,o,l,h,v,g,p
4893,f,s,b,t,f,f,c,b,b,w,t,b,f,s,w,w,p,w,o,p,h,s,u,p
4894,x,f,g,f,c,f,c,n,n,g,e,b,s,s,w,w,p,w,o,p,k,v,d,p
4895,x,f,y,f,f,f,c,b,b,g,e,b,k,k,n,n,p,w,o,l,h,y,p,p
4896,f,y,g,f,f,f,c,b,b,p,e,b,k,k,b,p,p,w,o,l,h,y,g,p
4897,f,y,y,f,f,f,c,b,b,h,e,b,k,k,n,n,p,w,o,l,h,y,p,p
4898,x,y,r,f,n,f,c,n,n,p,e,?,s,f,w,w,p,w,o,f,h,y,d,e
4899,f,y,w,f,n,f,c,n,n,h,e,?,s,f,w,w,p,w,o,f,h,v,d,e
4900,x,f,y,f,f,f,c,b,b,h,e,b,k,k,n,b,p,w,o,l,h,v,d,p
4901,f,y,y,f,f,f,c,b,b,h,e,b,k,k,b,n,p,w,o,l,h,y,p,p
4902,f,y,y,f,f,f,c,b,b,p,e,b,k,k,n,p,p,w,o,l,h,y,g,p
4903,x,y,e,f,y,f,c,n,n,b,t,?,k,k,p,w,p,w,o,e,w,v,p,p
4904,x,y,e,f,y,f,c,n,n,b,t,?,k,k,p,w,p,w,o,e,w,v,l,p
4905,x,y,g,f,f,f,c,b,b,h,e,b,k,k,b,b,p,w,o,l,h,y,d,p
4906,x,y,y,f,f,f,c,b,b,g,e,b,k,k,n,b,p,w,o,l,h,v,g,p
4907,f,f,g,f,f,f,c,b,b,h,e,b,k,k,b,n,p,w,o,l,h,y,d,p
4908,x,y,g,f,f,f,c,b,b,g,e,b,k,k,n,b,p,w,o,l,h,y,g,p
4909,x,y,y,f,f,f,c,b,b,g,e,b,k,k,p,p,p,w,o,l,h,v,d,p
4910,f,f,y,f,f,f,c,b,b,h,e,b,k,k,n,b,p,w,o,l,h,y,p,p
4911,f,s,e,t,n,f,c,b,b,w,e,?,s,s,w,e,p,w,t,e,w,c,w,e
4912,f,f,y,f,f,f,c,b,b,h,e,b,k,k,b,n,p,w,o,l,h,y,p,p
4913,x,y,y,f,f,f,c,b,b,h,e,b,k,k,p,p,p,w,o,l,h,y,p,p
4914,f,s,g,t,f,f,c,b,b,p,t,b,f,s,w,w,p,w,o,p,h,s,g,p
4915,f,f,y,f,f,f,c,b,b,p,e,b,k,k,b,p,p,w,o,l,h,v,g,p
4916,x,y,y,f,f,f,c,b,b,h,e,b,k,k,n,n,p,w,o,l,h,y,d,p
4917,x,f,y,f,f,f,c,b,b,p,e,b,k,k,n,b,p,w,o,l,h,y,p,p
4918,x,s,g,t,f,f,c,b,b,h,t,b,f,f,w,w,p,w,o,p,h,v,u,p
4919,f,y,g,f,f,f,c,b,b,p,e,b,k,k,p,p,p,w,o,l,h,y,g,p
4920,f,f,g,f,f,f,c,b,b,h,e,b,k,k,p,n,p,w,o,l,h,v,g,p
4921,x,s,w,f,c,f,c,n,n,n,e,b,s,s,w,w,p,w,o,p,k,v,d,p
4922,f,y,g,f,f,f,c,b,b,p,e,b,k,k,b,b,p,w,o,l,h,y,p,p
4923,f,y,e,t,n,f,c,b,b,u,t,b,s,s,p,w,p,w,o,p,n,y,d,e
4924,x,f,y,f,f,f,c,b,b,g,e,b,k,k,p,p,p,w,o,l,h,y,g,p
4925,x,y,y,f,f,f,c,b,b,p,e,b,k,k,n,p,p,w,o,l,h,y,p,p
4926,k,s,b,t,n,f,c,b,b,e,e,?,s,s,w,w,p,w,t,e,w,c,w,e
4927,f,f,y,f,f,f,c,b,b,h,e,b,k,k,b,p,p,w,o,l,h,v,g,p
4928,f,f,y,f,f,f,c,b,b,g,e,b,k,k,p,p,p,w,o,l,h,v,d,p
4929,x,y,y,f,f,f,c,b,b,g,e,b,k,k,b,b,p,w,o,l,h,y,g,p
4930,x,f,n,f,n,f,w,n,n,w,e,b,s,f,w,n,p,w,o,e,w,v,l,e
4931,x,y,e,t,n,f,c,b,b,e,e,?,s,s,e,e,p,w,t,e,w,c,w,e
4932,x,y,g,f,f,f,c,b,b,g,e,b,k,k,p,n,p,w,o,l,h,v,p,p
4933,x,f,y,f,f,f,c,b,b,g,e,b,k,k,p,b,p,w,o,l,h,v,g,p
4934,f,s,g,t,f,f,c,b,b,h,t,b,f,f,w,w,p,w,o,p,h,v,g,p
4935,x,y,y,f,f,f,c,b,b,g,e,b,k,k,p,b,p,w,o,l,h,y,g,p
4936,f,y,g,f,f,f,c,b,b,p,e,b,k,k,b,n,p,w,o,l,h,v,p,p
4937,x,y,g,f,f,f,c,b,b,p,e,b,k,k,n,b,p,w,o,l,h,v,g,p
4938,x,y,n,f,s,f,c,n,n,b,t,?,s,k,w,w,p,w,o,e,w,v,p,p
4939,k,s,b,t,n,f,c,b,b,w,e,?,s,s,e,w,p,w,t,e,w,c,w,e
4940,f,f,y,f,f,f,c,b,b,g,e,b,k,k,b,p,p,w,o,l,h,y,d,p
4941,x,f,g,f,f,f,c,b,b,g,e,b,k,k,b,p,p,w,o,l,h,v,p,p
4942,f,y,g,f,f,f,c,b,b,h,e,b,k,k,b,b,p,w,o,l,h,y,p,p
4943,x,f,y,f,f,f,c,b,b,g,e,b,k,k,b,n,p,w,o,l,h,v,d,p
4944,f,y,y,f,f,f,c,b,b,h,e,b,k,k,n,n,p,w,o,l,h,v,g,p
4945,k,s,p,t,n,f,c,b,b,w,e,?,s,s,e,e,p,w,t,e,w,c,w,e
4946,f,y,n,f,n,f,c,n,n,w,e,?,k,y,w,n,p,w,o,e,w,v,d,p
4947,x,y,g,f,f,f,c,b,b,g,e,b,k,k,n,n,p,w,o,l,h,y,d,p
4948,x,f,y,f,f,f,c,b,b,h,e,b,k,k,n,p,p,w,o,l,h,y,d,p
4949,x,y,g,f,f,f,c,b,b,h,e,b,k,k,n,b,p,w,o,l,h,v,p,p
4950,f,s,b,t,f,f,c,b,b,w,t,b,f,f,w,w,p,w,o,p,h,v,u,p
4951,f,s,b,t,n,f,c,b,b,w,e,?,s,s,w,w,p,w,t,e,w,c,w,e
4952,f,s,w,t,f,f,c,b,b,w,t,b,f,f,w,w,p,w,o,p,h,s,u,p
4953,f,y,g,f,f,f,c,b,b,g,e,b,k,k,b,n,p,w,o,l,h,y,p,p
4954,x,f,y,f,f,f,c,b,b,g,e,b,k,k,b,b,p,w,o,l,h,v,p,p
4955,f,y,g,f,f,f,c,b,b,h,e,b,k,k,n,n,p,w,o,l,h,v,p,p
4956,f,y,y,f,f,f,c,b,b,g,e,b,k,k,n,b,p,w,o,l,h,y,g,p
4957,f,f,y,f,f,f,c,b,b,p,e,b,k,k,n,n,p,w,o,l,h,v,d,p
4958,x,s,b,t,f,f,c,b,b,h,t,b,s,s,w,w,p,w,o,p,h,v,u,p
4959,f,f,g,f,f,f,c,b,b,g,e,b,k,k,p,p,p,w,o,l,h,y,p,p
4960,x,y,g,f,f,f,c,b,b,h,e,b,k,k,p,n,p,w,o,l,h,y,d,p
4961,f,f,y,f,f,f,c,b,b,p,e,b,k,k,b,b,p,w,o,l,h,y,g,p
4962,f,y,y,f,f,f,c,b,b,h,e,b,k,k,p,p,p,w,o,l,h,y,d,p
4963,f,s,g,t,f,f,c,b,b,p,t,b,s,f,w,w,p,w,o,p,h,s,u,p
4964,f,s,b,t,n,f,c,b,b,w,e,?,s,s,w,e,p,w,t,e,w,c,w,e
4965,x,s,p,t,n,f,c,b,b,w,e,?,s,s,e,e,p,w,t,e,w,c,w,e
4966,k,s,n,t,n,f,c,b,b,e,e,?,s,s,w,w,p,w,t,e,w,c,w,e
4967,f,y,p,t,n,f,c,b,b,g,e,b,s,s,w,w,p,w,t,p,r,v,g,p
4968,f,y,g,f,f,f,c,b,b,p,e,b,k,k,p,p,p,w,o,l,h,v,p,p
4969,x,y,y,f,f,f,c,b,b,h,e,b,k,k,b,b,p,w,o,l,h,v,p,p
4970,f,f,g,f,f,f,c,b,b,g,e,b,k,k,b,p,p,w,o,l,h,v,g,p
4971,f,f,g,f,f,f,c,b,b,p,e,b,k,k,p,p,p,w,o,l,h,y,d,p
4972,x,f,y,f,f,f,c,b,b,p,e,b,k,k,b,n,p,w,o,l,h,y,p,p
4973,f,f,g,f,f,f,c,b,b,p,e,b,k,k,n,b,p,w,o,l,h,v,d,p
4974,f,y,g,f,f,f,c,b,b,h,e,b,k,k,b,p,p,w,o,l,h,y,d,p
4975,f,y,y,f,f,f,c,b,b,h,e,b,k,k,b,b,p,w,o,l,h,v,d,p
4976,f,f,y,f,f,f,c,b,b,p,e,b,k,k,b,b,p,w,o,l,h,v,g,p
4977,f,y,y,f,f,f,c,b,b,p,e,b,k,k,p,n,p,w,o,l,h,y,g,p
4978,x,y,y,f,f,f,c,b,b,p,e,b,k,k,p,b,p,w,o,l,h,v,d,p
4979,x,y,y,f,f,f,c,b,b,h,e,b,k,k,b,n,p,w,o,l,h,y,p,p
4980,f,y,g,f,f,f,c,b,b,g,e,b,k,k,p,n,p,w,o,l,h,v,g,p
4981,f,f,g,f,f,f,c,b,b,g,e,b,k,k,b,p,p,w,o,l,h,y,d,p
4982,x,y,y,f,f,f,c,b,b,g,e,b,k,k,n,p,p,w,o,l,h,v,p,p
4983,x,y,y,f,f,f,c,b,b,g,e,b,k,k,n,n,p,w,o,l,h,y,p,p
4984,f,y,u,f,n,f,c,n,n,w,e,?,s,f,w,w,p,w,o,f,h,y,d,e
4985,f,f,g,f,f,f,c,b,b,g,e,b,k,k,b,b,p,w,o,l,h,v,g,p
4986,x,y,n,f,y,f,c,n,n,b,t,?,s,s,w,p,p,w,o,e,w,v,l,p
4987,x,y,y,f,f,f,c,b,b,p,e,b,k,k,p,n,p,w,o,l,h,v,g,p
4988,x,y,y,f,f,f,c,b,b,p,e,b,k,k,n,n,p,w,o,l,h,y,p,p
4989,x,y,g,f,f,f,c,b,b,h,e,b,k,k,n,n,p,w,o,l,h,v,g,p
4990,f,f,y,f,f,f,c,b,b,g,e,b,k,k,b,b,p,w,o,l,h,v,d,p
4991,x,f,y,f,f,f,c,b,b,p,e,b,k,k,n,p,p,w,o,l,h,y,d,p
4992,x,y,g,f,f,f,c,b,b,h,e,b,k,k,n,p,p,w,o,l,h,v,p,p
4993,f,s,b,t,n,f,c,b,b,e,e,?,s,s,w,w,p,w,t,e,w,c,w,e
4994,f,f,g,f,f,f,c,b,b,h,e,b,k,k,p,p,p,w,o,l,h,y,p,p
4995,f,y,y,f,f,f,c,b,b,h,e,b,k,k,n,p,p,w,o,l,h,v,d,p
4996,x,s,n,t,n,f,c,b,b,w,e,?,s,s,w,e,p,w,t,e,w,c,w,e
4997,f,f,g,f,f,f,c,b,b,g,e,b,k,k,b,n,p,w,o,l,h,y,p,p
4998,x,y,g,f,f,f,c,b,b,g,e,b,k,k,p,b,p,w,o,l,h,v,d,p
4999,x,y,n,f,f,f,c,n,n,b,t,?,k,k,p,p,p,w,o,e,w,v,p,p
5000,f,f,y,f,f,f,c,b,b,g,e,b,k,k,n,n,p,w,o,l,h,v,d,p
5001,x,y,n,f,n,f,c,n,n,w,e,?,k,y,w,n,p,w,o,e,w,v,d,p
5002,b,s,b,t,n,f,c,b,b,w,e,b,s,s,w,w,p,w,t,p,r,v,g,p
5003,f,f,y,f,f,f,c,b,b,p,e,b,k,k,n,b,p,w,o,l,h,v,d,p
5004,f,y,g,f,f,f,c,b,b,h,e,b,k,k,n,b,p,w,o,l,h,y,d,p
5005,f,y,u,f,n,f,c,n,n,u,e,?,s,f,w,w,p,w,o,f,h,y,d,e
5006,x,f,y,f,f,f,c,b,b,g,e,b,k,k,n,n,p,w,o,l,h,v,g,p
5007,f,y,y,f,f,f,c,b,b,g,e,b,k,k,b,p,p,w,o,l,h,y,g,p
5008,f,f,y,f,f,f,c,b,b,h,e,b,k,k,n,p,p,w,o,l,h,y,g,p
5009,x,y,y,f,f,f,c,b,b,h,e,b,k,k,b,p,p,w,o,l,h,y,d,p
5010,x,y,e,t,n,f,c,b,b,w,e,?,s,s,e,w,p,w,t,e,w,c,w,e
5011,f,f,g,f,f,f,c,b,b,g,e,b,k,k,p,p,p,w,o,l,h,v,g,p
5012,x,y,y,f,f,f,c,b,b,g,e,b,k,k,b,n,p,w,o,l,h,v,g,p
5013,x,y,y,f,f,f,c,b,b,p,e,b,k,k,b,b,p,w,o,l,h,v,p,p
5014,f,y,g,f,f,f,c,b,b,g,e,b,k,k,b,n,p,w,o,l,h,v,p,p
5015,k,s,b,t,n,f,c,b,b,w,e,?,s,s,w,e,p,w,t,e,w,c,w,e
5016,f,y,y,f,f,f,c,b,b,p,e,b,k,k,p,b,p,w,o,l,h,y,d,p
5017,x,y,g,f,f,f,c,b,b,p,e,b,k,k,b,b,p,w,o,l,h,v,p,p
5018,x,f,y,f,f,f,c,b,b,h,e,b,k,k,n,n,p,w,o,l,h,v,d,p
5019,f,f,y,f,f,f,c,b,b,p,e,b,k,k,n,p,p,w,o,l,h,v,p,p
5020,f,s,w,t,f,f,c,b,b,h,t,b,s,f,w,w,p,w,o,p,h,v,u,p
5021,x,s,g,f,c,f,c,n,n,p,e,b,s,s,w,w,p,w,o,p,n,v,d,p
5022,f,y,y,f,f,f,c,b,b,g,e,b,k,k,p,b,p,w,o,l,h,y,d,p
5023,f,y,u,f,n,f,c,n,n,p,e,?,s,f,w,w,p,w,o,f,h,v,d,e
5024,x,f,y,f,f,f,c,b,b,g,e,b,k,k,p,p,p,w,o,l,h,y,d,p
5025,f,y,g,f,f,f,c,b,b,g,e,b,k,k,n,p,p,w,o,l,h,y,d,p
5026,x,f,y,f,f,f,c,b,b,g,e,b,k,k,n,p,p,w,o,l,h,v,g,p
5027,x,f,y,f,f,f,c,b,b,h,e,b,k,k,n,b,p,w,o,l,h,v,p,p
5028,x,s,g,t,f,f,c,b,b,p,t,b,f,s,w,w,p,w,o,p,h,s,u,p
5029,f,y,g,f,f,f,c,b,b,g,e,b,k,k,p,n,p,w,o,l,h,y,d,p
5030,f,f,y,f,f,f,c,b,b,h,e,b,k,k,p,n,p,w,o,l,h,y,p,p
5031,f,f,y,f,f,f,c,b,b,g,e,b,k,k,b,n,p,w,o,l,h,y,d,p
5032,x,y,g,f,f,f,c,b,b,p,e,b,k,k,p,b,p,w,o,l,h,v,d,p
5033,x,y,g,f,f,f,c,b,b,g,e,b,k,k,n,b,p,w,o,l,h,v,g,p
5034,x,y,g,f,f,f,c,b,b,h,e,b,k,k,n,b,p,w,o,l,h,y,d,p
5035,x,f,g,f,f,f,c,b,b,p,e,b,k,k,p,p,p,w,o,l,h,y,g,p
5036,x,y,y,f,f,f,c,b,b,g,e,b,k,k,p,n,p,w,o,l,h,y,p,p
5037,f,f,g,f,f,f,c,b,b,h,e,b,k,k,n,n,p,w,o,l,h,v,g,p
5038,f,f,y,f,f,f,c,b,b,p,e,b,k,k,b,n,p,w,o,l,h,y,d,p
5039,x,y,g,f,f,f,c,b,b,h,e,b,k,k,b,p,p,w,o,l,h,y,p,p
5040,f,f,y,f,f,f,c,b,b,g,e,b,k,k,p,p,p,w,o,l,h,v,p,p
5041,x,y,n,f,s,f,c,n,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l,p
5042,x,f,y,f,f,f,c,b,b,h,e,b,k,k,p,b,p,w,o,l,h,y,p,p
5043,x,y,y,f,f,f,c,b,b,g,e,b,k,k,b,p,p,w,o,l,h,v,p,p
5044,f,s,b,t,f,f,c,b,b,w,t,b,f,s,w,w,p,w,o,p,h,v,g,p
5045,f,f,g,f,f,f,c,b,b,h,e,b,k,k,n,p,p,w,o,l,h,v,d,p
5046,f,y,y,f,f,f,c,b,b,h,e,b,k,k,b,p,p,w,o,l,h,y,p,p
5047,x,f,y,f,f,f,c,b,b,h,e,b,k,k,n,n,p,w,o,l,h,y,p,p
5048,f,f,g,f,f,f,c,b,b,p,e,b,k,k,b,n,p,w,o,l,h,v,d,p
5049,x,y,y,f,f,f,c,b,b,g,e,b,k,k,n,p,p,w,o,l,h,y,d,p
5050,x,y,g,f,f,f,c,b,b,p,e,b,k,k,b,b,p,w,o,l,h,v,d,p
5051,x,y,e,f,y,f,c,n,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l,p
5052,k,y,b,t,n,f,c,b,b,e,e,?,s,s,e,w,p,w,t,e,w,c,w,e
5053,f,y,b,t,n,f,c,b,b,w,e,?,s,s,e,w,p,w,t,e,w,c,w,e
5054,x,y,g,f,f,f,c,b,b,p,e,b,k,k,p,p,p,w,o,l,h,y,d,p
5055,f,f,y,f,f,f,c,b,b,g,e,b,k,k,b,p,p,w,o,l,h,y,p,p
5056,x,y,g,f,f,f,c,b,b,h,e,b,k,k,n,b,p,w,o,l,h,y,g,p
5057,f,y,g,f,f,f,c,b,b,g,e,b,k,k,b,p,p,w,o,l,h,y,g,p
5058,x,s,b,t,f,f,c,b,b,w,t,b,s,f,w,w,p,w,o,p,h,s,u,p
5059,f,y,y,f,f,f,c,b,b,h,e,b,k,k,b,p,p,w,o,l,h,v,p,p
5060,x,s,w,t,f,f,c,b,b,p,t,b,f,f,w,w,p,w,o,p,h,s,u,p
5061,x,f,y,f,f,f,c,b,b,p,e,b,k,k,b,n,p,w,o,l,h,v,p,p
5062,x,y,g,f,f,f,c,b,b,p,e,b,k,k,b,p,p,w,o,l,h,y,p,p
5063,x,s,w,t,f,f,c,b,b,p,t,b,s,f,w,w,p,w,o,p,h,s,u,p
5064,f,s,b,t,f,f,c,b,b,p,t,b,f,f,w,w,p,w,o,p,h,s,g,p
5065,x,s,w,t,f,f,c,b,b,h,t,b,f,s,w,w,p,w,o,p,h,s,u,p
5066,f,f,y,f,f,f,c,b,b,p,e,b,k,k,n,b,p,w,o,l,h,y,d,p
5067,f,y,g,f,f,f,c,b,b,g,e,b,k,k,p,b,p,w,o,l,h,y,p,p
5068,x,f,y,f,f,f,c,b,b,h,e,b,k,k,b,n,p,w,o,l,h,v,g,p
5069,f,f,g,f,f,f,c,b,b,h,e,b,k,k,n,b,p,w,o,l,h,v,p,p
5070,x,y,w,f,n,f,c,n,n,u,e,?,s,f,w,w,p,w,o,f,h,y,d,e
5071,x,s,e,t,n,f,c,b,b,e,e,?,s,s,w,w,p,w,t,e,w,c,w,e
5072,x,y,g,f,f,f,c,b,b,p,e,b,k,k,p,p,p,w,o,l,h,v,g,p
5073,f,f,g,f,f,f,c,b,b,h,e,b,k,k,n,b,p,w,o,l,h,v,g,p
5074,x,y,n,f,y,f,c,n,n,b,t,?,k,s,p,w,p,w,o,e,w,v,l,p
5075,x,y,g,f,f,f,c,b,b,h,e,b,k,k,p,b,p,w,o,l,h,v,p,p
5076,f,f,g,f,f,f,c,b,b,h,e,b,k,k,n,p,p,w,o,l,h,y,p,p
5077,f,f,y,f,f,f,c,b,b,h,e,b,k,k,b,n,p,w,o,l,h,v,p,p
5078,f,f,y,f,f,f,c,b,b,h,e,b,k,k,b,p,p,w,o,l,h,y,d,p
5079,f,f,e,t,n,f,c,b,b,n,t,b,s,s,g,w,p,w,o,p,n,y,d,e
5080,x,y,y,f,f,f,c,b,b,p,e,b,k,k,n,b,p,w,o,l,h,y,g,p
5081,f,y,y,f,f,f,c,b,b,g,e,b,k,k,n,b,p,w,o,l,h,v,d,p
5082,f,f,g,f,f,f,c,b,b,g,e,b,k,k,b,p,p,w,o,l,h,v,p,p
5083,x,y,y,f,f,f,c,b,b,h,e,b,k,k,p,p,p,w,o,l,h,y,g,p
5084,x,f,y,f,f,f,c,b,b,g,e,b,k,k,p,b,p,w,o,l,h,y,p,p
5085,k,f,y,f,n,f,c,n,n,w,e,?,k,y,w,n,p,w,o,e,w,v,d,p
5086,f,f,y,f,f,f,c,b,b,h,e,b,k,k,n,b,p,w,o,l,h,y,g,p
5087,k,f,c,f,n,f,w,n,n,w,e,b,f,s,w,n,p,w,o,e,w,v,l,e
5088,f,f,g,f,f,f,c,b,b,h,e,b,k,k,n,n,p,w,o,l,h,v,p,p
5089,f,y,y,f,f,f,c,b,b,h,e,b,k,k,n,p,p,w,o,l,h,y,p,p
