Id,cap-shape,cap-surface,cap-color,bruises?,odor,gill-attachment,gill-spacing,gill-size,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
4833,f,f,y,f,f,f,c,b,b,g,e,b,k,k,p,n,p,w,o,l,h,v,p
4834,k,y,n,f,n,f,w,n,n,w,e,b,f,s,w,n,p,w,o,e,w,v,l
4835,x,s,w,f,c,f,c,n,n,p,e,b,s,s,w,w,p,w,o,p,n,v,d
4836,x,f,y,f,f,f,c,b,b,g,e,b,k,k,b,n,p,w,o,l,h,y,g
4837,x,f,y,f,f,f,c,b,b,g,e,b,k,k,n,b,p,w,o,l,h,v,p
4838,x,f,y,f,f,f,c,b,b,g,e,b,k,k,b,n,p,w,o,l,h,y,d
4839,f,y,y,f,f,f,c,b,b,p,e,b,k,k,n,b,p,w,o,l,h,v,p
4840,b,s,b,t,n,f,c,b,b,g,e,b,s,s,w,w,p,w,t,p,r,v,g
4841,x,s,w,t,f,f,c,b,b,h,t,b,f,f,w,w,p,w,o,p,h,v,g
4842,f,y,e,t,n,f,c,b,b,n,t,b,s,s,w,p,p,w,o,p,n,y,d
4843,b,s,w,t,n,f,c,b,b,g,e,b,s,s,w,w,p,w,t,p,r,v,m
4844,f,y,p,t,n,f,c,b,b,w,e,?,s,s,e,e,p,w,t,e,w,c,w
4845,x,s,w,t,f,f,c,b,b,p,t,b,f,f,w,w,p,w,o,p,h,v,g
4846,k,y,n,t,n,f,c,b,b,w,e,?,s,s,w,w,p,w,t,e,w,c,w
4847,x,y,y,f,f,f,c,b,b,h,e,b,k,k,n,b,p,w,o,l,h,y,p
4848,f,s,b,t,f,f,c,b,b,h,t,b,f,s,w,w,p,w,o,p,h,v,u
4849,f,y,g,f,f,f,c,b,b,h,e,b,k,k,n,n,p,w,o,l,h,v,d
4850,x,y,y,f,f,f,c,b,b,h,e,b,k,k,b,n,p,w,o,l,h,v,d
4851,x,y,g,f,f,f,c,b,b,p,e,b,k,k,n,b,p,w,o,l,h,v,d
4852,x,f,y,f,f,f,c,b,b,g,e,b,k,k,n,p,p,w,o,l,h,y,p
4853,x,y,y,f,f,f,c,b,b,h,e,b,k,k,p,b,p,w,o,l,h,v,d
4854,x,y,y,f,f,f,c,b,b,h,e,b,k,k,p,n,p,w,o,l,h,y,d
4855,x,f,y,f,f,f,c,b,b,g,e,b,k,k,b,n,p,w,o,l,h,y,p
4856,x,y,g,f,f,f,c,b,b,g,e,b,k,k,b,b,p,w,o,l,h,y,p
4857,f,f,g,f,f,f,c,b,b,p,e,b,k,k,n,n,p,w,o,l,h,v,p
4858,k,s,e,t,n,f,c,b,b,w,e,?,s,s,e,w,p,w,t,e,w,c,w
4859,f,y,n,t,n,f,c,b,b,e,e,?,s,s,e,w,p,w,t,e,w,c,w
4860,f,s,b,t,n,f,c,b,b,w,e,?,s,s,e,w,p,w,t,e,w,c,w
4861,x,y,y,f,f,f,c,b,b,g,e,b,k,k,b,b,p,w,o,l,h,v,d
4862,f,f,g,t,n,f,c,b,b,u,t,b,s,s,p,p,p,w,o,p,n,v,d
4863,f,f,y,f,f,f,c,b,b,p,e,b,k,k,n,n,p,w,o,l,h,y,p
4864,f,y,g,f,f,f,c,b,b,h,e,b,k,k,p,p,p,w,o,l,h,y,g
4865,x,s,g,t,f,f,c,b,b,p,t,b,f,f,w,w,p,w,o,p,h,v,g
4866,f,f,g,f,f,f,c,b,b,p,e,b,k,k,p,p,p,w,o,l,h,v,p
4867,x,f,y,f,f,f,c,b,b,h,e,b,k,k,p,b,p,w,o,l,h,y,d
4868,f,f,y,f,f,f,c,b,b,p,e,b,k,k,n,p,p,w,o,l,h,v,g
4869,x,y,n,f,f,f,c,n,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l
4870,f,f,g,f,f,f,c,b,b,h,e,b,k,k,b,n,p,w,o,l,h,v,p
4871,f,y,n,t,n,f,c,b,b,e,e,?,s,s,w,w,p,w,t,e,w,c,w
4872,f,y,e,t,n,f,c,b,b,p,t,b,s,s,g,p,p,w,o,p,k,v,d
4873,f,y,g,f,f,f,c,b,b,g,e,b,k,k,p,b,p,w,o,l,h,y,g
4874,x,y,y,f,f,f,c,b,b,h,e,b,k,k,p,p,p,w,o,l,h,v,p
4875,f,f,g,f,f,f,c,b,b,p,e,b,k,k,n,n,p,w,o,l,h,y,d
4876,f,f,e,t,n,f,c,b,b,n,t,b,s,s,p,w,p,w,o,p,n,v,d
4877,x,y,y,f,f,f,c,b,b,h,e,b,k,k,p,b,p,w,o,l,h,v,p
4878,f,f,y,f,f,f,c,b,b,p,e,b,k,k,b,b,p,w,o,l,h,y,p
4879,f,f,g,f,f,f,c,b,b,p,e,b,k,k,p,n,p,w,o,l,h,v,p
4880,f,y,y,f,f,f,c,b,b,g,e,b,k,k,n,b,p,w,o,l,h,y,d
4881,x,y,g,f,f,f,c,b,b,h,e,b,k,k,b,b,p,w,o,l,h,v,d
4882,b,y,w,t,n,f,c,b,b,w,e,b,s,s,w,w,p,w,t,p,r,v,m
4883,f,f,y,f,f,f,c,b,b,p,e,b,k,k,p,p,p,w,o,l,h,y,p
4884,x,y,n,f,f,f,c,n,n,b,t,?,k,s,p,w,p,w,o,e,w,v,d
4885,f,f,g,f,f,f,c,b,b,g,e,b,k,k,p,p,p,w,o,l,h,y,g
4886,x,y,y,f,f,f,c,b,b,g,e,b,k,k,n,n,p,w,o,l,h,v,g
4887,f,y,y,f,f,f,c,b,b,g,e,b,k,k,n,n,p,w,o,l,h,y,p
4888,f,y,p,t,n,f,c,b,b,e,e,?,s,s,e,e,p,w,t,e,w,c,w
4889,x,s,w,t,f,f,c,b,b,h,t,b,s,s,w,w,p,w,o,p,h,s,g
4890,f,y,g,f,f,f,c,b,b,h,e,b,k,k,n,p,p,w,o,l,h,y,g
4891,x,y,g,f,f,f,c,b,b,h,e,b,k,k,b,b,p,w,o,l,h,v,p
4892,x,f,y,f,f,f,c,b,b,p,e,b,k,k,n,p,p,w,o,l,h,v,g
4893,f,s,b,t,f,f,c,b,b,w,t,b,f,s,w,w,p,w,o,p,h,s,u
4894,x,f,g,f,c,f,c,n,n,g,e,b,s,s,w,w,p,w,o,p,k,v,d
4895,x,f,y,f,f,f,c,b,b,g,e,b,k,k,n,n,p,w,o,l,h,y,p
4896,f,y,g,f,f,f,c,b,b,p,e,b,k,k,b,p,p,w,o,l,h,y,g
4897,f,y,y,f,f,f,c,b,b,h,e,b,k,k,n,n,p,w,o,l,h,y,p
4898,x,y,r,f,n,f,c,n,n,p,e,?,s,f,w,w,p,w,o,f,h,y,d
4899,f,y,w,f,n,f,c,n,n,h,e,?,s,f,w,w,p,w,o,f,h,v,d
4900,x,f,y,f,f,f,c,b,b,h,e,b,k,k,n,b,p,w,o,l,h,v,d
4901,f,y,y,f,f,f,c,b,b,h,e,b,k,k,b,n,p,w,o,l,h,y,p
4902,f,y,y,f,f,f,c,b,b,p,e,b,k,k,n,p,p,w,o,l,h,y,g
4903,x,y,e,f,y,f,c,n,n,b,t,?,k,k,p,w,p,w,o,e,w,v,p
4904,x,y,e,f,y,f,c,n,n,b,t,?,k,k,p,w,p,w,o,e,w,v,l
4905,x,y,g,f,f,f,c,b,b,h,e,b,k,k,b,b,p,w,o,l,h,y,d
4906,x,y,y,f,f,f,c,b,b,g,e,b,k,k,n,b,p,w,o,l,h,v,g
4907,f,f,g,f,f,f,c,b,b,h,e,b,k,k,b,n,p,w,o,l,h,y,d
4908,x,y,g,f,f,f,c,b,b,g,e,b,k,k,n,b,p,w,o,l,h,y,g
4909,x,y,y,f,f,f,c,b,b,g,e,b,k,k,p,p,p,w,o,l,h,v,d
4910,f,f,y,f,f,f,c,b,b,h,e,b,k,k,n,b,p,w,o,l,h,y,p
4911,f,s,e,t,n,f,c,b,b,w,e,?,s,s,w,e,p,w,t,e,w,c,w
4912,f,f,y,f,f,f,c,b,b,h,e,b,k,k,b,n,p,w,o,l,h,y,p
4913,x,y,y,f,f,f,c,b,b,h,e,b,k,k,p,p,p,w,o,l,h,y,p
4914,f,s,g,t,f,f,c,b,b,p,t,b,f,s,w,w,p,w,o,p,h,s,g
4915,f,f,y,f,f,f,c,b,b,p,e,b,k,k,b,p,p,w,o,l,h,v,g
4916,x,y,y,f,f,f,c,b,b,h,e,b,k,k,n,n,p,w,o,l,h,y,d
4917,x,f,y,f,f,f,c,b,b,p,e,b,k,k,n,b,p,w,o,l,h,y,p
4918,x,s,g,t,f,f,c,b,b,h,t,b,f,f,w,w,p,w,o,p,h,v,u
4919,f,y,g,f,f,f,c,b,b,p,e,b,k,k,p,p,p,w,o,l,h,y,g
4920,f,f,g,f,f,f,c,b,b,h,e,b,k,k,p,n,p,w,o,l,h,v,g
4921,x,s,w,f,c,f,c,n,n,n,e,b,s,s,w,w,p,w,o,p,k,v,d
4922,f,y,g,f,f,f,c,b,b,p,e,b,k,k,b,b,p,w,o,l,h,y,p
4923,f,y,e,t,n,f,c,b,b,u,t,b,s,s,p,w,p,w,o,p,n,y,d
4924,x,f,y,f,f,f,c,b,b,g,e,b,k,k,p,p,p,w,o,l,h,y,g
4925,x,y,y,f,f,f,c,b,b,p,e,b,k,k,n,p,p,w,o,l,h,y,p
4926,k,s,b,t,n,f,c,b,b,e,e,?,s,s,w,w,p,w,t,e,w,c,w
4927,f,f,y,f,f,f,c,b,b,h,e,b,k,k,b,p,p,w,o,l,h,v,g
4928,f,f,y,f,f,f,c,b,b,g,e,b,k,k,p,p,p,w,o,l,h,v,d
4929,x,y,y,f,f,f,c,b,b,g,e,b,k,k,b,b,p,w,o,l,h,y,g
4930,x,f,n,f,n,f,w,n,n,w,e,b,s,f,w,n,p,w,o,e,w,v,l
4931,x,y,e,t,n,f,c,b,b,e,e,?,s,s,e,e,p,w,t,e,w,c,w
4932,x,y,g,f,f,f,c,b,b,g,e,b,k,k,p,n,p,w,o,l,h,v,p
4933,x,f,y,f,f,f,c,b,b,g,e,b,k,k,p,b,p,w,o,l,h,v,g
4934,f,s,g,t,f,f,c,b,b,h,t,b,f,f,w,w,p,w,o,p,h,v,g
4935,x,y,y,f,f,f,c,b,b,g,e,b,k,k,p,b,p,w,o,l,h,y,g
4936,f,y,g,f,f,f,c,b,b,p,e,b,k,k,b,n,p,w,o,l,h,v,p
4937,x,y,g,f,f,f,c,b,b,p,e,b,k,k,n,b,p,w,o,l,h,v,g
4938,x,y,n,f,s,f,c,n,n,b,t,?,s,k,w,w,p,w,o,e,w,v,p
4939,k,s,b,t,n,f,c,b,b,w,e,?,s,s,e,w,p,w,t,e,w,c,w
4940,f,f,y,f,f,f,c,b,b,g,e,b,k,k,b,p,p,w,o,l,h,y,d
4941,x,f,g,f,f,f,c,b,b,g,e,b,k,k,b,p,p,w,o,l,h,v,p
4942,f,y,g,f,f,f,c,b,b,h,e,b,k,k,b,b,p,w,o,l,h,y,p
4943,x,f,y,f,f,f,c,b,b,g,e,b,k,k,b,n,p,w,o,l,h,v,d
4944,f,y,y,f,f,f,c,b,b,h,e,b,k,k,n,n,p,w,o,l,h,v,g
4945,k,s,p,t,n,f,c,b,b,w,e,?,s,s,e,e,p,w,t,e,w,c,w
4946,f,y,n,f,n,f,c,n,n,w,e,?,k,y,w,n,p,w,o,e,w,v,d
4947,x,y,g,f,f,f,c,b,b,g,e,b,k,k,n,n,p,w,o,l,h,y,d
4948,x,f,y,f,f,f,c,b,b,h,e,b,k,k,n,p,p,w,o,l,h,y,d
4949,x,y,g,f,f,f,c,b,b,h,e,b,k,k,n,b,p,w,o,l,h,v,p
4950,f,s,b,t,f,f,c,b,b,w,t,b,f,f,w,w,p,w,o,p,h,v,u
4951,f,s,b,t,n,f,c,b,b,w,e,?,s,s,w,w,p,w,t,e,w,c,w
4952,f,s,w,t,f,f,c,b,b,w,t,b,f,f,w,w,p,w,o,p,h,s,u
4953,f,y,g,f,f,f,c,b,b,g,e,b,k,k,b,n,p,w,o,l,h,y,p
4954,x,f,y,f,f,f,c,b,b,g,e,b,k,k,b,b,p,w,o,l,h,v,p
4955,f,y,g,f,f,f,c,b,b,h,e,b,k,k,n,n,p,w,o,l,h,v,p
4956,f,y,y,f,f,f,c,b,b,g,e,b,k,k,n,b,p,w,o,l,h,y,g
4957,f,f,y,f,f,f,c,b,b,p,e,b,k,k,n,n,p,w,o,l,h,v,d
4958,x,s,b,t,f,f,c,b,b,h,t,b,s,s,w,w,p,w,o,p,h,v,u
4959,f,f,g,f,f,f,c,b,b,g,e,b,k,k,p,p,p,w,o,l,h,y,p
4960,x,y,g,f,f,f,c,b,b,h,e,b,k,k,p,n,p,w,o,l,h,y,d
4961,f,f,y,f,f,f,c,b,b,p,e,b,k,k,b,b,p,w,o,l,h,y,g
4962,f,y,y,f,f,f,c,b,b,h,e,b,k,k,p,p,p,w,o,l,h,y,d
4963,f,s,g,t,f,f,c,b,b,p,t,b,s,f,w,w,p,w,o,p,h,s,u
4964,f,s,b,t,n,f,c,b,b,w,e,?,s,s,w,e,p,w,t,e,w,c,w
4965,x,s,p,t,n,f,c,b,b,w,e,?,s,s,e,e,p,w,t,e,w,c,w
4966,k,s,n,t,n,f,c,b,b,e,e,?,s,s,w,w,p,w,t,e,w,c,w
4967,f,y,p,t,n,f,c,b,b,g,e,b,s,s,w,w,p,w,t,p,r,v,g
4968,f,y,g,f,f,f,c,b,b,p,e,b,k,k,p,p,p,w,o,l,h,v,p
4969,x,y,y,f,f,f,c,b,b,h,e,b,k,k,b,b,p,w,o,l,h,v,p
4970,f,f,g,f,f,f,c,b,b,g,e,b,k,k,b,p,p,w,o,l,h,v,g
4971,f,f,g,f,f,f,c,b,b,p,e,b,k,k,p,p,p,w,o,l,h,y,d
4972,x,f,y,f,f,f,c,b,b,p,e,b,k,k,b,n,p,w,o,l,h,y,p
4973,f,f,g,f,f,f,c,b,b,p,e,b,k,k,n,b,p,w,o,l,h,v,d
4974,f,y,g,f,f,f,c,b,b,h,e,b,k,k,b,p,p,w,o,l,h,y,d
4975,f,y,y,f,f,f,c,b,b,h,e,b,k,k,b,b,p,w,o,l,h,v,d
4976,f,f,y,f,f,f,c,b,b,p,e,b,k,k,b,b,p,w,o,l,h,v,g
4977,f,y,y,f,f,f,c,b,b,p,e,b,k,k,p,n,p,w,o,l,h,y,g
4978,x,y,y,f,f,f,c,b,b,p,e,b,k,k,p,b,p,w,o,l,h,v,d
4979,x,y,y,f,f,f,c,b,b,h,e,b,k,k,b,n,p,w,o,l,h,y,p
4980,f,y,g,f,f,f,c,b,b,g,e,b,k,k,p,n,p,w,o,l,h,v,g
4981,f,f,g,f,f,f,c,b,b,g,e,b,k,k,b,p,p,w,o,l,h,y,d
4982,x,y,y,f,f,f,c,b,b,g,e,b,k,k,n,p,p,w,o,l,h,v,p
4983,x,y,y,f,f,f,c,b,b,g,e,b,k,k,n,n,p,w,o,l,h,y,p
4984,f,y,u,f,n,f,c,n,n,w,e,?,s,f,w,w,p,w,o,f,h,y,d
4985,f,f,g,f,f,f,c,b,b,g,e,b,k,k,b,b,p,w,o,l,h,v,g
4986,x,y,n,f,y,f,c,n,n,b,t,?,s,s,w,p,p,w,o,e,w,v,l
4987,x,y,y,f,f,f,c,b,b,p,e,b,k,k,p,n,p,w,o,l,h,v,g
4988,x,y,y,f,f,f,c,b,b,p,e,b,k,k,n,n,p,w,o,l,h,y,p
4989,x,y,g,f,f,f,c,b,b,h,e,b,k,k,n,n,p,w,o,l,h,v,g
4990,f,f,y,f,f,f,c,b,b,g,e,b,k,k,b,b,p,w,o,l,h,v,d
4991,x,f,y,f,f,f,c,b,b,p,e,b,k,k,n,p,p,w,o,l,h,y,d
4992,x,y,g,f,f,f,c,b,b,h,e,b,k,k,n,p,p,w,o,l,h,v,p
4993,f,s,b,t,n,f,c,b,b,e,e,?,s,s,w,w,p,w,t,e,w,c,w
4994,f,f,g,f,f,f,c,b,b,h,e,b,k,k,p,p,p,w,o,l,h,y,p
4995,f,y,y,f,f,f,c,b,b,h,e,b,k,k,n,p,p,w,o,l,h,v,d
4996,x,s,n,t,n,f,c,b,b,w,e,?,s,s,w,e,p,w,t,e,w,c,w
4997,f,f,g,f,f,f,c,b,b,g,e,b,k,k,b,n,p,w,o,l,h,y,p
4998,x,y,g,f,f,f,c,b,b,g,e,b,k,k,p,b,p,w,o,l,h,v,d
4999,x,y,n,f,f,f,c,n,n,b,t,?,k,k,p,p,p,w,o,e,w,v,p
5000,f,f,y,f,f,f,c,b,b,g,e,b,k,k,n,n,p,w,o,l,h,v,d
5001,x,y,n,f,n,f,c,n,n,w,e,?,k,y,w,n,p,w,o,e,w,v,d
5002,b,s,b,t,n,f,c,b,b,w,e,b,s,s,w,w,p,w,t,p,r,v,g
5003,f,f,y,f,f,f,c,b,b,p,e,b,k,k,n,b,p,w,o,l,h,v,d
5004,f,y,g,f,f,f,c,b,b,h,e,b,k,k,n,b,p,w,o,l,h,y,d
5005,f,y,u,f,n,f,c,n,n,u,e,?,s,f,w,w,p,w,o,f,h,y,d
5006,x,f,y,f,f,f,c,b,b,g,e,b,k,k,n,n,p,w,o,l,h,v,g
5007,f,y,y,f,f,f,c,b,b,g,e,b,k,k,b,p,p,w,o,l,h,y,g
5008,f,f,y,f,f,f,c,b,b,h,e,b,k,k,n,p,p,w,o,l,h,y,g
5009,x,y,y,f,f,f,c,b,b,h,e,b,k,k,b,p,p,w,o,l,h,y,d
5010,x,y,e,t,n,f,c,b,b,w,e,?,s,s,e,w,p,w,t,e,w,c,w
5011,f,f,g,f,f,f,c,b,b,g,e,b,k,k,p,p,p,w,o,l,h,v,g
5012,x,y,y,f,f,f,c,b,b,g,e,b,k,k,b,n,p,w,o,l,h,v,g
5013,x,y,y,f,f,f,c,b,b,p,e,b,k,k,b,b,p,w,o,l,h,v,p
5014,f,y,g,f,f,f,c,b,b,g,e,b,k,k,b,n,p,w,o,l,h,v,p
5015,k,s,b,t,n,f,c,b,b,w,e,?,s,s,w,e,p,w,t,e,w,c,w
5016,f,y,y,f,f,f,c,b,b,p,e,b,k,k,p,b,p,w,o,l,h,y,d
5017,x,y,g,f,f,f,c,b,b,p,e,b,k,k,b,b,p,w,o,l,h,v,p
5018,x,f,y,f,f,f,c,b,b,h,e,b,k,k,n,n,p,w,o,l,h,v,d
5019,f,f,y,f,f,f,c,b,b,p,e,b,k,k,n,p,p,w,o,l,h,v,p
5020,f,s,w,t,f,f,c,b,b,h,t,b,s,f,w,w,p,w,o,p,h,v,u
5021,x,s,g,f,c,f,c,n,n,p,e,b,s,s,w,w,p,w,o,p,n,v,d
5022,f,y,y,f,f,f,c,b,b,g,e,b,k,k,p,b,p,w,o,l,h,y,d
5023,f,y,u,f,n,f,c,n,n,p,e,?,s,f,w,w,p,w,o,f,h,v,d
5024,x,f,y,f,f,f,c,b,b,g,e,b,k,k,p,p,p,w,o,l,h,y,d
5025,f,y,g,f,f,f,c,b,b,g,e,b,k,k,n,p,p,w,o,l,h,y,d
5026,x,f,y,f,f,f,c,b,b,g,e,b,k,k,n,p,p,w,o,l,h,v,g
5027,x,f,y,f,f,f,c,b,b,h,e,b,k,k,n,b,p,w,o,l,h,v,p
5028,x,s,g,t,f,f,c,b,b,p,t,b,f,s,w,w,p,w,o,p,h,s,u
5029,f,y,g,f,f,f,c,b,b,g,e,b,k,k,p,n,p,w,o,l,h,y,d
5030,f,f,y,f,f,f,c,b,b,h,e,b,k,k,p,n,p,w,o,l,h,y,p
5031,f,f,y,f,f,f,c,b,b,g,e,b,k,k,b,n,p,w,o,l,h,y,d
5032,x,y,g,f,f,f,c,b,b,p,e,b,k,k,p,b,p,w,o,l,h,v,d
5033,x,y,g,f,f,f,c,b,b,g,e,b,k,k,n,b,p,w,o,l,h,v,g
5034,x,y,g,f,f,f,c,b,b,h,e,b,k,k,n,b,p,w,o,l,h,y,d
5035,x,f,g,f,f,f,c,b,b,p,e,b,k,k,p,p,p,w,o,l,h,y,g
5036,x,y,y,f,f,f,c,b,b,g,e,b,k,k,p,n,p,w,o,l,h,y,p
5037,f,f,g,f,f,f,c,b,b,h,e,b,k,k,n,n,p,w,o,l,h,v,g
5038,f,f,y,f,f,f,c,b,b,p,e,b,k,k,b,n,p,w,o,l,h,y,d
5039,x,y,g,f,f,f,c,b,b,h,e,b,k,k,b,p,p,w,o,l,h,y,p
5040,f,f,y,f,f,f,c,b,b,g,e,b,k,k,p,p,p,w,o,l,h,v,p
5041,x,y,n,f,s,f,c,n,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l
5042,x,f,y,f,f,f,c,b,b,h,e,b,k,k,p,b,p,w,o,l,h,y,p
5043,x,y,y,f,f,f,c,b,b,g,e,b,k,k,b,p,p,w,o,l,h,v,p
5044,f,s,b,t,f,f,c,b,b,w,t,b,f,s,w,w,p,w,o,p,h,v,g
5045,f,f,g,f,f,f,c,b,b,h,e,b,k,k,n,p,p,w,o,l,h,v,d
5046,f,y,y,f,f,f,c,b,b,h,e,b,k,k,b,p,p,w,o,l,h,y,p
5047,x,f,y,f,f,f,c,b,b,h,e,b,k,k,n,n,p,w,o,l,h,y,p
5048,f,f,g,f,f,f,c,b,b,p,e,b,k,k,b,n,p,w,o,l,h,v,d
5049,x,y,y,f,f,f,c,b,b,g,e,b,k,k,n,p,p,w,o,l,h,y,d
5050,x,y,g,f,f,f,c,b,b,p,e,b,k,k,b,b,p,w,o,l,h,v,d
5051,x,y,e,f,y,f,c,n,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l
5052,k,y,b,t,n,f,c,b,b,e,e,?,s,s,e,w,p,w,t,e,w,c,w
5053,f,y,b,t,n,f,c,b,b,w,e,?,s,s,e,w,p,w,t,e,w,c,w
5054,x,y,g,f,f,f,c,b,b,p,e,b,k,k,p,p,p,w,o,l,h,y,d
5055,f,f,y,f,f,f,c,b,b,g,e,b,k,k,b,p,p,w,o,l,h,y,p
5056,x,y,g,f,f,f,c,b,b,h,e,b,k,k,n,b,p,w,o,l,h,y,g
5057,f,y,g,f,f,f,c,b,b,g,e,b,k,k,b,p,p,w,o,l,h,y,g
5058,x,s,b,t,f,f,c,b,b,w,t,b,s,f,w,w,p,w,o,p,h,s,u
5059,f,y,y,f,f,f,c,b,b,h,e,b,k,k,b,p,p,w,o,l,h,v,p
5060,x,s,w,t,f,f,c,b,b,p,t,b,f,f,w,w,p,w,o,p,h,s,u
5061,x,f,y,f,f,f,c,b,b,p,e,b,k,k,b,n,p,w,o,l,h,v,p
5062,x,y,g,f,f,f,c,b,b,p,e,b,k,k,b,p,p,w,o,l,h,y,p
5063,x,s,w,t,f,f,c,b,b,p,t,b,s,f,w,w,p,w,o,p,h,s,u
5064,f,s,b,t,f,f,c,b,b,p,t,b,f,f,w,w,p,w,o,p,h,s,g
5065,x,s,w,t,f,f,c,b,b,h,t,b,f,s,w,w,p,w,o,p,h,s,u
5066,f,f,y,f,f,f,c,b,b,p,e,b,k,k,n,b,p,w,o,l,h,y,d
5067,f,y,g,f,f,f,c,b,b,g,e,b,k,k,p,b,p,w,o,l,h,y,p
5068,x,f,y,f,f,f,c,b,b,h,e,b,k,k,b,n,p,w,o,l,h,v,g
5069,f,f,g,f,f,f,c,b,b,h,e,b,k,k,n,b,p,w,o,l,h,v,p
5070,x,y,w,f,n,f,c,n,n,u,e,?,s,f,w,w,p,w,o,f,h,y,d
5071,x,s,e,t,n,f,c,b,b,e,e,?,s,s,w,w,p,w,t,e,w,c,w
5072,x,y,g,f,f,f,c,b,b,p,e,b,k,k,p,p,p,w,o,l,h,v,g
5073,f,f,g,f,f,f,c,b,b,h,e,b,k,k,n,b,p,w,o,l,h,v,g
5074,x,y,n,f,y,f,c,n,n,b,t,?,k,s,p,w,p,w,o,e,w,v,l
5075,x,y,g,f,f,f,c,b,b,h,e,b,k,k,p,b,p,w,o,l,h,v,p
5076,f,f,g,f,f,f,c,b,b,h,e,b,k,k,n,p,p,w,o,l,h,y,p
5077,f,f,y,f,f,f,c,b,b,h,e,b,k,k,b,n,p,w,o,l,h,v,p
5078,f,f,y,f,f,f,c,b,b,h,e,b,k,k,b,p,p,w,o,l,h,y,d
5079,f,f,e,t,n,f,c,b,b,n,t,b,s,s,g,w,p,w,o,p,n,y,d
5080,x,y,y,f,f,f,c,b,b,p,e,b,k,k,n,b,p,w,o,l,h,y,g
5081,f,y,y,f,f,f,c,b,b,g,e,b,k,k,n,b,p,w,o,l,h,v,d
5082,f,f,g,f,f,f,c,b,b,g,e,b,k,k,b,p,p,w,o,l,h,v,p
5083,x,y,y,f,f,f,c,b,b,h,e,b,k,k,p,p,p,w,o,l,h,y,g
5084,x,f,y,f,f,f,c,b,b,g,e,b,k,k,p,b,p,w,o,l,h,y,p
5085,k,f,y,f,n,f,c,n,n,w,e,?,k,y,w,n,p,w,o,e,w,v,d
5086,f,f,y,f,f,f,c,b,b,h,e,b,k,k,n,b,p,w,o,l,h,y,g
5087,k,f,c,f,n,f,w,n,n,w,e,b,f,s,w,n,p,w,o,e,w,v,l
5088,f,f,g,f,f,f,c,b,b,h,e,b,k,k,n,n,p,w,o,l,h,v,p
5089,f,y,y,f,f,f,c,b,b,h,e,b,k,k,n,p,p,w,o,l,h,y,p
5090,x,y,g,f,f,f,c,b,b,g,e,b,k,k,b,b,p,w,o,l,h,v,d
5091,x,y,g,f,f,f,c,b,b,p,e,b,k,k,p,b,p,w,o,l,h,v,p
5092,f,f,y,f,f,f,c,b,b,h,e,b,k,k,p,p,p,w,o,l,h,v,g
5093,f,y,y,f,f,f,c,b,b,h,e,b,k,k,p,n,p,w,o,l,h,v,d
5094,x,f,y,f,f,f,c,b,b,p,e,b,k,k,n,n,p,w,o,l,h,y,d
5095,f,f,y,f,f,f,c,b,b,p,e,b,k,k,n,n,p,w,o,l,h,v,p
5096,x,y,y,f,f,f,c,b,b,g,e,b,k,k,n,b,p,w,o,l,h,y,d
5097,b,y,p,t,n,f,c,b,b,w,e,b,s,s,w,w,p,w,t,p,r,v,g
5098,k,y,p,t,n,f,c,b,b,e,e,?,s,s,w,w,p,w,t,e,w,c,w
5099,x,y,y,f,f,f,c,b,b,g,e,b,k,k,b,b,p,w,o,l,h,v,p
5100,x,f,y,f,f,f,c,b,b,p,e,b,k,k,p,p,p,w,o,l,h,v,g
5101,k,y,b,t,n,f,c,b,b,e,e,?,s,s,w,e,p,w,t,e,w,c,w
5102,f,y,y,f,f,f,c,b,b,p,e,b,k,k,n,n,p,w,o,l,h,y,d
5103,x,s,w,t,f,f,c,b,b,p,t,b,s,s,w,w,p,w,o,p,h,s,u
5104,x,y,n,f,s,f,c,n,n,b,t,?,k,k,w,w,p,w,o,e,w,v,p
5105,x,y,n,f,y,f,c,n,n,b,t,?,s,k,w,w,p,w,o,e,w,v,d
5106,x,y,e,f,y,f,c,n,n,b,t,?,k,k,w,w,p,w,o,e,w,v,p
5107,f,g,w,t,n,f,w,n,n,w,e,b,s,s,w,w,p,w,o,p,w,c,l
5108,x,s,g,t,f,f,c,b,b,p,t,b,f,s,w,w,p,w,o,p,h,v,u
5109,f,y,c,f,n,f,w,n,n,w,e,b,f,s,w,n,p,w,o,e,w,v,l
5110,x,y,g,f,f,f,c,b,b,p,e,b,k,k,p,b,p,w,o,l,h,y,g
5111,f,y,y,f,f,f,c,b,b,g,e,b,k,k,b,p,p,w,o,l,h,v,d
5112,f,y,y,f,f,f,c,b,b,p,e,b,k,k,b,p,p,w,o,l,h,y,p
5113,f,y,p,t,n,f,c,b,b,w,e,?,s,s,w,e,p,w,t,e,w,c,w
5114,x,s,b,t,f,f,c,b,b,w,t,b,f,s,w,w,p,w,o,p,h,v,g
